DATE,ASTDSL
10/1/1996,12418773
1/1/1997,12580098
4/1/1997,12742594
7/1/1997,12940387
10/1/1997,13235813
1/1/1998,13579052
4/1/1998,13887550
7/1/1998,14131350
10/1/1998,14484186
1/1/1999,14853752
4/1/1999,15069375
7/1/1999,15388958
10/1/1999,15659945
1/1/2000,15849025
4/1/2000,15905028
7/1/2000,16137049
10/1/2000,16417868
1/1/2001,16754552
4/1/2001,16905587
7/1/2001,17254482
10/1/2001,17719331
1/1/2002,18043506
4/1/2002,18348727
7/1/2002,18643608
10/1/2002,19161115
1/1/2003,19498413
4/1/2003,19915395
7/1/2003,20301063
10/1/2003,20838521
1/1/2004,22018934
4/1/2004,22306850
7/1/2004,22725938
10/1/2004,23207940
1/1/2005,23692159
4/1/2005,24002743
7/1/2005,24226726
10/1/2005,24789343
1/1/2006,25317084
4/1/2006,25778297
7/1/2006,26231867
10/1/2006,26878205
1/1/2007,27718704
4/1/2007,28241351
7/1/2007,28922379
10/1/2007,29541475
1/1/2008,29969662
4/1/2008,30253578
7/1/2008,30532745
10/1/2008,31057622
1/1/2009,31816628
4/1/2009,32056199
7/1/2009,32388302
10/1/2009,32603955
1/1/2010,32729963
4/1/2010,32881111
7/1/2010,33383120
10/1/2010,33969787
