DATE,unemploy
1/1/1997,7158
2/1/1997,7102
3/1/1997,7000
4/1/1997,6873
5/1/1997,6655
6/1/1997,6799
7/1/1997,6655
8/1/1997,6608
9/1/1997,6656
10/1/1997,6454
11/1/1997,6308
12/1/1997,6476
1/1/1998,6368
2/1/1998,6306
3/1/1998,6422
4/1/1998,5941
5/1/1998,6047
6/1/1998,6212
7/1/1998,6259
8/1/1998,6179
9/1/1998,6300
10/1/1998,6280
11/1/1998,6100
12/1/1998,6032
1/1/1999,5976
2/1/1999,6111
3/1/1999,5783
4/1/1999,6004
5/1/1999,5796
6/1/1999,5951
7/1/1999,6025
8/1/1999,5838
9/1/1999,5915
10/1/1999,5778
11/1/1999,5716
12/1/1999,5653
1/1/2000,5708
2/1/2000,5858
3/1/2000,5733
4/1/2000,5481
5/1/2000,5758
6/1/2000,5651
7/1/2000,5747
8/1/2000,5853
9/1/2000,5625
10/1/2000,5534
11/1/2000,5639
12/1/2000,5634
1/1/2001,6023
2/1/2001,6089
3/1/2001,6141
4/1/2001,6271
5/1/2001,6226
6/1/2001,6484
7/1/2001,6583
8/1/2001,7042
9/1/2001,7142
10/1/2001,7694
11/1/2001,8003
12/1/2001,8258
1/1/2002,8182
2/1/2002,8215
3/1/2002,8304
4/1/2002,8599
5/1/2002,8399
6/1/2002,8393
7/1/2002,8390
8/1/2002,8304
9/1/2002,8251
10/1/2002,8307
11/1/2002,8520
12/1/2002,8640
1/1/2003,8520
2/1/2003,8618
3/1/2003,8588
4/1/2003,8842
5/1/2003,8957
6/1/2003,9266
7/1/2003,9011
8/1/2003,8896
9/1/2003,8921
10/1/2003,8732
11/1/2003,8576
12/1/2003,8317
1/1/2004,8370
2/1/2004,8167
3/1/2004,8491
4/1/2004,8170
5/1/2004,8212
6/1/2004,8286
7/1/2004,8136
8/1/2004,7990
9/1/2004,7927
10/1/2004,8061
11/1/2004,7932
12/1/2004,7934
1/1/2005,7784
2/1/2005,7980
3/1/2005,7737
4/1/2005,7672
5/1/2005,7651
6/1/2005,7524
7/1/2005,7406
8/1/2005,7345
9/1/2005,7553
10/1/2005,7453
11/1/2005,7566
12/1/2005,7279
1/1/2006,7064
2/1/2006,7184
3/1/2006,7072
4/1/2006,7120
5/1/2006,6980
6/1/2006,7001
7/1/2006,7175
8/1/2006,7091
9/1/2006,6847
10/1/2006,6727
11/1/2006,6872
12/1/2006,6762
1/1/2007,7116
2/1/2007,6927
3/1/2007,6731
4/1/2007,6850
5/1/2007,6766
6/1/2007,6979
7/1/2007,7149
8/1/2007,7067
9/1/2007,7170
10/1/2007,7237
11/1/2007,7240
12/1/2007,7645
1/1/2008,7685
2/1/2008,7497
3/1/2008,7822
4/1/2008,7637
5/1/2008,8395
6/1/2008,8575
7/1/2008,8937
8/1/2008,9438
9/1/2008,9494
10/1/2008,10074
11/1/2008,10538
12/1/2008,11286
1/1/2009,12058
2/1/2009,12898
3/1/2009,13426
4/1/2009,13853
5/1/2009,14499
6/1/2009,14707
7/1/2009,14601
8/1/2009,14814
9/1/2009,15009
10/1/2009,15352
11/1/2009,15219
12/1/2009,15098
1/1/2010,15046
2/1/2010,15113
3/1/2010,15202
4/1/2010,15325
5/1/2010,14849
6/1/2010,14474
7/1/2010,14512
8/1/2010,14648
9/1/2010,14579
10/1/2010,14516
11/1/2010,15081
12/1/2010,14348
